"SPEAKER","SENTENCE","DOMAINID","DOMAIN","CATEGORY","SPEAKERID","SENTENCEID","MAIN","SUB","QA","QACNCT","MQ","SQ","UA","SA","개체명","용어사전","지식베이스"
"고객","감귤밭 팔려고 하는데 어느정도에 팔 수 있을까요?","I","부동산","토지","1","1","시세문의","","Q","","감귤밭 팔려고 하는데 어느 정도에 팔 수 있을까요?","","","","감귤밭","","감귤밭/매물"
"점원","그쪽 지역은 아직 땅값이 별로 안나가서 많이는 못받을 것 같습니다.","I","부동산","토지","0","2","시세문의","","A","","","","","그쪽 지역은 아직 땅값이 별로 안 나가서 많이는 못 받을 것 같습니다.","그쪽 지역, 땅값","","그쪽 지역/위치"
"고객","지금은 안파는게 좋나요?","I","부동산","토지","1","3","시세문의","","Q","","지금은 안 파는 게 좋나요?","","","","","",""
"점원","조금만 참는게 좋을것 같습니다.","I","부동산","토지","0","4","시세문의","","A","","","","","조금만 참는 게 좋을 것 같습니다.","","",""
"고객","언제쯤 오를까요?","I","부동산","토지","1","5","시세변동문의","","Q","","언제쯤 오를까요?","","","","언제","",""
"점원","내년에 재개발 들어가는걸로 알고있습니다.","I","부동산","토지","0","6","시세변동문의","","A","","","","","내년에 재개발 들어가는 걸로 알고 있습니다.","내년, 재개발","","내년/날짜"
"고객","그럼 그때 다시 연락 주실 수 있나요?","I","부동산","토지","1","7","추후연락요청","","Q","","그럼 그때 다시 연락 주실 수 있나요?","","","","그때, 연락","",""
"점원","네. 그전에도 오른다면 연락드리겠습니다.","I","부동산","토지","0","8","추후연락요청","","A","","","","","네. 그전에도 오른다면 연락드리겠습니다.","그전, 연락","",""
"고객","번호 알려드릴게요","I","부동산","토지","1","9","연락처제공","","Q","","번호 알려드릴게요","","","","번호","",""
"점원","알겠습니다.","I","부동산","토지","0","10","연락처제공","","A","","","","","알겠습니다.","","",""
"고객","농사지을 땅 알아보고 있는데 있나요?","I","부동산","토지","1","1","땅매수문의","","Q","","농사지을 땅 알아보고 있는데 있나요?","","","","농사지을 땅","","농사지을 땅/매물"
"점원","네, 어떤농사하시게요?","I","부동산","토지","0","2","지목(땅의용도)문의","땅의용도","Q","","","네, 어떤 농사하시게요?","","","농사","","농사/용도"
"고객","저 콩농사 하려고요.","I","부동산","토지","1","3","지목(땅의용도)문의","땅의용도","A","","","","저 콩 농사 지려고요.","","콩 농사","","콩 농사/용도"
"점원","콩이면 밭인데, 괜찮은 밭은 다 나갔네요.","I","부동산","토지","0","4","땅매수문의","","A","1","","","","콩이면 밭인데, 괜찮은 밭은 다 나갔네요.","콩, 밭, 괜찮은 밭","","밭/매물, 괜찮은 밭/매물"
"고객","밭 매물 볼수 있을까요?","I","부동산","토지","1","5","매물나온땅보러가기요청","","Q","","밭 매물 볼 수 있을까요?","","","","밭, 매물","","밭/매물"
"점원","잠시만요, 사진 가져다 드릴게요.","I","부동산","토지","0","6","매물나온땅보러가기요청","","A","","","","","잠시만요, 사진 가져다드릴게요.","사진","",""
"고객","이 밭은 평수가 어떻게 되죠 ?","I","부동산","토지","1","7","면적문의","","Q","","이 밭은 평수가 어떻게 되죠?","","","","밭, 평수","","밭/매물"
"점원","10만 제곱미터 정도되네요.","I","부동산","토지","0","8","면적문의","","A","","","","","10만 제곱미터 정도 되네요.","10만 제곱미터","","10만 제곱미터/넓이"
